	CFU	mys	unk	poly	pvalue
Samsn1	3.732649092	3.784095615	0.44285859	0.678865169	0.017993258
2010011I20Rik	3.893672852	4.524270584	7.28344956	7.468102664	0.046607857
Elf1	2.215737608	3.146578654	6.050506051	5.474302995	0.044525085
Bri3bp	4.311859095	4.45800133	1.520884843	1.30903063	0.003296664
8-Mar	2.308535624	3.253544594	5.510724614	6.085363041	0.047829153
Lpcat4	3.998312864	3.285400739	1.231844022	0.456876574	0.034144897
Npepl1	6.879166615	7.061009292	4.443182267	3.862183558	0.046660043
Nudt18	2.322652146	2.150468693	5.199201184	5.24412975	0.012166628
Mknk1	4.777651159	4.535480684	7.762395328	7.839506155	0.014215294
Spnb1	5.762133512	6.030249991	8.539705535	9.241003548	0.047328315
Nat6	5.055798676	4.136905009	7.927772037	7.377175819	0.04535553
Slc19a1	3.83154287	3.643336726	1.066330337	0.5229195	0.038038161
Ip6k1	4.452101186	4.660603515	7.623969256	7.708959704	0.008652513
Capn5	0.154704001	0.310356409	3.231040653	3.327421504	0.00236504
Tcp11l1	0.908779097	1.000628157	3.85779194	3.637436361	0.010369102
Trp53inp2	1.126979462	0.972402248	4.150177832	4.055213011	0.002376193
Abcb6	3.712914877	3.678680414	6.847270367	6.706060813	0.009941691
Hells	5.912554065	5.021892755	2.849971246	2.25286068	0.04281604
Sigmar1	4.547153659	4.420994335	1.656738897	1.441292241	0.00487685
Gart	6.825378604	6.20803727	3.438862364	3.710635642	0.036112576
Slc30a1	2.633184734	2.536132495	5.813891473	5.486469828	0.022349396
Clic1	7.708939019	7.686199351	10.69878279	10.47807186	0.022882658
Dedd2	4.65359892	4.686366056	7.616688512	7.8427149	0.020864412
Rfx2	3.397581202	3.002286662	6.535993823	5.772384521	0.041169456
Acp5	4.187704414	3.5930071	6.687508661	6.297035471	0.026716872
Cdk6	4.161266948	3.62862197	0.752643275	1.181325221	0.01527134
B4galt1	3.859065096	4.17895361	7.157094252	6.908692838	0.005698288
Tbc1d24	3.679536399	3.598567683	6.626712172	6.321004474	0.024502026
Crlf1	0.137503524	0.276116661	3.013758808	3.147793486	0.00113038
Tprgl	4.328161479	4.733408576	7.302556678	7.703232235	0.009070559
Etv5	3.862877838	3.091936738	1.168930802	0.581894958	0.038130126
Tbx6	0.755152506	0.305962352	3.033470577	3.529233756	0.014882493
Pcyt1a	4.80723641	4.393718218	7.629990392	6.861570826	0.04718584
Zfand5	3.252512546	3.545610121	6.388623521	5.954645338	0.013546117
Wdtc1	5.091280926	4.864983431	8.15600721	7.635355361	0.029390308
Pld3	3.12070693	2.646042812	5.556873866	5.864599699	0.016078388
Malat1	3.690517667	4.002567515	6.367025029	6.689103433	0.006945129
Ng23	5.346963979	5.532195379	7.964473722	8.487044122	0.038065317
Gstt2	2.354827314	1.554971882	4.100313317	4.801438061	0.043935101
Hba-x	5.495500527	5.892093854	8.161947463	8.519952381	0.01037983
Rgs12	1.160203825	1.719678495	4.336619025	3.895128091	0.019957082
1810027O10Rik	8.722558239	7.975595797	11.37915631	10.53986641	0.044440802
